Long Range Darts,$90,Makes the Dart Monkey shoot further than normal.,Gains +8 range.
Enhanced Eyesight,$200,Shoots even further and can detect Camo bloons.,"Gains +8 range on top of previous upgrades, +10% increased projectile speed, and camo detection."
Crossbow,$575,Uses a long range Crossbow that can pop 3 layers of Bloon for every hit.,"Deals 3 damage per hit, gains +3 pierce, and gains +8 range again."
Sharp Shooter,$2000,Sharp Shooter does powerful Crit shots every few shots that do a lot more damage.,"Deals 6 damage per hit, attacks every 0.75s instead of 0.95s, and lands a Critical Hit after every 8-12 shots. Crits deal 50 damage per hit."
Crossbow Master,$25000,Crossbow Master shoots really fast and devastates most Bloon types with ease.,"Attacks every 0.16s instead of 0.75s, increases damage from 6 to 9, pierce from 5 to 12, range from 56 to 76, and applies Critical Hits every 4-8 shots. Can also damage any bloon type."
Improved Rangs,$200,Can pop up to 8 Bloons per throw.,"Gains +4 pierce, equivalent to 8 pierce for most upgrades."
Glaives,$280,Throws sharper glaives instead of boomerangs.,"Gains +5 pierce on top of the previous upgrade, equivalent to 13 pierce for most upgrades. Also gives +50% knockback for MOAB Press."
Glaive Ricochet,$1500,Glaives will bounce from Bloon to Bloon automatically and aggressively.,Glaives automatically bounce towards each bloon with sharp turning. Pops up to 50 bloons per glaive.
M.O.A.R. Glaives,$3200,Multiple Object Advanced Ricochet greatly enhances the already extraordinary powers of the Glaive Ricochet Monkey.,"Pierce increased from 50 to 100, attack speed is doubled, and glaive bounce distance is increased."
Glaive Lord,$30000,Glaive Lord surrounds itself in 3 special glaives that shred anything that comes near. Glaive Lord's glaives now rip through MOAB-class Bloons.,"Gains a sharp 30 range zone that deals 2 damage every 0.1 seconds to all affected bloons in radius, including Camo Bloons, +5 to Ceramics, MOAB-class, and 2 more to Fortified. Main glaive now inflicts a shredding damage-over-time to MOAB-class, slowly dealing 100 damage every 1.0s for 15.1s."
Faster Throwing,$175,Throws boomerangs faster.,Attacks +33% faster (0.75x attack cooldown).
Faster Rangs,$250,Boomerangs fire and travel faster.,"Attacks +33% faster (0.75x attack cooldown) on top of the previous upgrade, and projectile speed increased."
Bionic Boomerang,$1600,Replaces arm with a strong bionic arm that can throw boomerangs extremely fast and does extra damage to MOAB-class bloons.,Attacks over 5x faster (0.1983x attack cooldown) and deals +2 damage to MOAB-class.
Turbo Charge,$4000,Turbo Charge ability: Makes this Monkey attack incredibly fast for 10 seconds.,Ability makes the Boomerang Monkey attack 7x faster and deal +1 damage for 10 seconds. Has a cooldown of 45 seconds.
Perma Charge,$35000,Perma Charge has a permanent super fast attack speed. Ability increases the lethality even more.,"Permanently gains Turbo Charge attack speed and deals 4 damage by default. Ability now deals +8 damage for 15 seconds, with a reduced cooldown of 40 seconds. With Red Hot Rangs, its attacks deal another +4 damage, and the ability deals +2 additional damage."
Long Range Rangs,$100,Can throw boomerangs further than normal.,Gains +6.45 range and boomerangs are thrown on a wider curve.
Red Hot Rangs,$300,Allows boomerangs to pop Frozen and Lead Bloons and do more damage to all.,Pops any bloon type and main attack and Glaive Lord's glaive orbitals deal +1 damage. Gives even more damage with Perma Charge.
Kylie Boomerang,$1300,Throws heavy Kylie boomerangs that follow a straight path instead of curved.,Kylie boomerangs are thrown and returned in a straight path instead of curved. Pierce improves to 18 and can rehit the same bloons after 0.3 seconds.
MOAB Press,$2700,Heavy Kylie boomerangs hit MOAB-Class Bloons multiple times per throw and sometimes knocks them back a short way along the path.,"Throws a powerful knockback boomerang at MOAB-class bloons every once in a while, dealing 1 damage to Bloons in its path, and 5 to MOABs, while pushing them backwards by a set amount of distance. These boomerangs have 200 pierce and can redamage Bloons after 0.1 seconds. Path 1 upgrades increase pierce and knockback distance."
MOAB Domination,$60000,Special knockback kylies trigger more often and do lots of extra damage.,"Kylie boomerangs deal +10 damage, all attacks fire twice as fast, special knockback boomerangs deal increased MOAB damage, have +100 pierce, double range, and produce a powerful burning explosion upon projectile expiry for even more damage."
Bigger Bombs,$350,"Shoots larger bombs, they have a larger blast area and more popping power.",Explosions have much greater blast area (12 to 18) and pop +6 bloons.
Heavy Bombs,$650,Heavy duty bombs can smash through 2 layers of Bloon at once and pop more Bloons.,Explosions deal +1 damage and pop an additional +10 bloons.
Really Big Bombs,$1200,Huge bombs deal greater damage in a large area and allow Frags to pop more Bloons.,"Explosions have even greater blast area (18 to 27), deal 3 damage instead of 2, and pop +20 bloons. With Frag Bombs, improves fragment pierce and lifespan."
Bloon Impact,$3600,Explosions become so violent Bloons are stunned for a short time when they are hit. Range is increased and frags are even more effective.,"Explosions stun affected bloons for 1.0s. Gains +3 range. With Frag Bombs, improves frag damage and lifespan."
Bloon Crush,$55000,Bloon shattering explosions do massive damage and can stun MOAB-Class bloons.,"Explosions deal even more damage, pop Black properties, and stun both MOAB-class and bloons for 2.0s. With Frag Bombs, fragments deal much more damage and gain more pierce."
Faster Reload,$250,Reloads faster.,Attacks +33% faster (0.75x attack cooldown).
Missile Launcher,$400,"Exchanges bombs for missiles, which fire faster, fly faster, and increase range.","Attacks +25% faster (0.80x attack cooldown) on top of the previous upgrade, gains +4 range, and gains extra projectile speed."
MOAB Mauler,$900,MOAB Maulers do much more damage to MOAB-Class Bloons and ceramics.,"Explosions deal 19 damage to MOAB-class and 2 damage to Ceramics. Also gains +5 range, but attack cooldown increases to 1.2s (?)."
MOAB Assassin,$3200,Assassinate MOAB ability: Special missile flies out and does massive damage to MOAB-Class Bloons. Regular attack range and MOAB-class damage also increased.,"Ability targets the strongest blimp on screen and deals an instant 750 damage to the first blimp hit. Main attack deals 31 damage to MOAB-class and 5 damage to Ceramics, and gains +5 range."
MOAB Eliminator,$25000,Assassinate ability deals 6x damage with a short cooldown.,Ability targets the strongest blimp on screen and deals an instant 4500 damage to the first blimp hit with 3x faster ability cooldown. Main attack deals 130 damage to MOAB-class and damages Black properties.
Extra Range,$200,Increases attack range.,Gains +7 range.
Frag Bombs,$300,Explosions throw sharp fragments that can pop more Bloons including Black Bloons.,Explosions produce sharp fragments that pop up to 1 bloon each. Frags can also pop Black Bloons. Improves frags with higher-level Path 1 upgrades.
Cluster Bombs,$800,Throws out secondary bombs instead of sharp fragments every shot.,Each main bomb explosion produces a secondary larger explosion that pop up to 40 (predicted?) bloons per secondary explosion.
Recursive Cluster,$3200,Every second shot the cluster bombs send out more cluster bombs for even more destruction.,"Every second shot, each bomb explodes up to three times centered in the same location, the third explosion being much bigger and pops up to 120 (predicted?) bloons."
Bomb Blitz,$35000,"Deals much more damage and when lives are lost, the Bomb Storm automatically triggers, which destroys all but the biggest of Bloons.","Deals 5 damage per explosion, pops Black Bloons, creates recursive explosions every shot, and gains a passive ability that deals an instant 2000 damage on screen and wipes out MOABs and below."
Faster Shooting,$150,Shoots tacks faster.,Attacks +33% faster (0.75x attack cooldown)
Even Faster Shooting,$400,Shoots tacks even faster.,Attacks +66% faster (0.60x attack cooldown)
Hot Shots,$600,Shoots superhot tacks that do extra damage and can pop Lead Bloons.,Pops Frozen and Lead and tacks deal +1 damage.
Ring of Fire,$3500,Damages many more Bloons with a deadly ring of flame instead of tacks.,"Instead of tacks, creates bursts of flame that deal 3 damage per shot. Cannot pop Purples."
Inferno Ring,$45500,Deadly inferno of flame roasts Bloons into oblivion.,"Powerful bursts of flame deal 4 damage, 10 damage to MOAB-class, and attack much faster. Also creates explosive burning meteors that deal huge damage to the first bloon hit and set nearby bloons on fire."
Long Range Tacks,$100,Tacks fly out further than normal.,Gains +4 range. Rings of Fire also gain +10 pierce.
Super Range Tacks,$225,Even longer range tacks that can pop more Bloons.,Gains +1 pierce and another +4 range. Rings of Fire also gain another +10 pierce.
Blade Shooter,$600,Switches tacks out for sharp blades that can pop up to 5 additional Bloons.,"Instead of tacks, shoots sharp blades that pop up to 6 bloons instead of 2. Blades have larger hitboxes."
Blade Maelstrom,$2900,Blade Maelstrom ability: Covers the area in a storm of blades.,"For 3 seconds, the ability distributes two waves of blades in a clockwise direction."
Super Maelstrom,$15000,Even more powerful Maelstrom ability and lasts longer.,"For 9 seconds, the ability distributes four waves of higher damage blades in a clockwise direction. Can pop Frozen and Lead."
More Tacks,$100,"Shoots 10 tacks instead of 8, plus increases Ring of Fire damage.",Shoots 10 tacks per shot instead of 8. Rings of Fire gain +1 damage instead of more tacks.
Even More Tacks,$100,Shoots out 12 tacks per shot and increases Ring of Fire damage further.,Shoots 12 tacks per shot instead of 10. Rings of Fire gain a further +1 damage instead of more tacks.
Tack Sprayer,$450,Sprays out 16 tacks per volley.,Shoots 16 tacks per shot and attacks +33% faster (0.75x attack cooldown)
Overdrive,$3200,Shoots incredibly fast.,3x speed and +1 pierce.
The Tack Zone,$24000,"Many, many tacks.",Shoots 32 tacks per shot +33% faster (0.75x attack cooldown). Gains +7 range and does 2 damage per shot.
Permafrost,$100,Bloons move slowly even after thawing out.,"Slows bloons by 50% after thawing out. Lasts as many layers as the freeze does. At Tier 5, the Permafrost effect can affect blimps but by 25% instead."
Cold Snap,$350,Can freeze and pop Lead and Camo bloons.,Allows the Ice monkey to pop and target Lead and Camo bloons
Ice Shards,$1500,Razor sharp shards fly out when Frozen Bloons pop.,Bloons frozen by this Ice Monkey will each release three shards in equal directions if the frozen layer is subsequently popped within a short period.
Embrittlement,$3200,"Detects Camo Bloons and all Bloons including MOABs hit become brittle, taking extra damage for a short time and losing Camo and Regrow properties permanently.","All bloons affected will become temporarily vulnerable to damage from sharp and freezing attacks, temporarily take +1 damage, and permanently lose Camo and Regrow properties. Can also pop white bloons."
Super Brittle,$28000,Bloons take huge damage while frozen including MOAB class Bloons.,"Bloons are temporarily vulnerable to +4 damage if struck with a freeze, on top of previous upgrade's benefits. Can now affect MOAB-class bloons, including stripping off DDT camo."
Enhanced Freeze,$225,Attacks faster and freezes for longer.,Attacks +33% faster (0.75x attack cooldown) and freezes bloons for 2.2s instead of 1.5s.
Deep Freeze,$350,Freezes through 2 layers of bloon and freezes for even longer.,"Can freeze up to two layers, and freezes bloons for 3.0s (?) instead of 2.2s."
Arctic Wind,$2900,Greatly increases pierce and gains a super cold aura that slows bloons and freezes water nearby.,Pierce increases from 40 to 100. Freeze-vulnerable bloons are slowed by 50% within range. Can freeze water to let land towers become placeable on water.
Snowstorm,$3000,"Snowstorm Ability: Freezes all regular bloons on screen, and briefly freezes white, zebra, camo and MOAB class.","Ability will freeze all bloons on screen, including White and Zebra, except Leads unless given lead-popping. MOAB-class, White, Zebra, and Camo are frozen for only 3 (?) seconds, while all other affected bloons are frozen for a full 6 seconds. Ability freeze soaks through 2 non-blimp layers."
Absolute Zero,$20000,"Ability freezes all regular Bloons for longer, including White, Zebra and Camo, slows MOAB-class longer, and increases the attack speed of all Ice Monkeys.","Freezes all bloons currently on screen for a full 10 seconds, including freeze-immune. For the same duration, all Ice Monkeys attack much faster. Both main attack and ability soak up to 4 non-blimp layers."
Larger Radius,$100,Larger freeze area.,Gains +7 range.
Re-Freeze,$200,Can re-freeze Bloons that are already frozen.,Self-explanatory
Cryo Cannon,$1750,Shoots freezing bombs at bloons over long range.,Converts slow radial ice blasts into moderately fast-shooting snowballs that deal 2 damage each. Gains more range.
Icicles,$2000,Frozen Bloons grow sharp icicles that can pop Bloons that touch them.,Bloons affected by ice blasts will grow sharp icicles on top of them. Icicles deal 2 damage onto up to 3 bloons and act like spike piles. Icicles will thaw after a few seconds.
Icicle Impale,$30000,Shoots huge icicle spikes that do huge damage to MOAB Class bloons and freezes them.,Can target MOAB-class bloons and attacks slightly faster. Affected MOAB-class bloons are dealt 50 damage each and become frozen.
Glue Soak,$200,Glue soaks through all layers of Bloon.,"Soaks through all non-blimp layers of bloon. Cannot soak through MOAB-class, even with upgrades."
Corrosive Glue,$300,Glued Bloons pop one layer every few seconds.,Slowly deals damage to bloons every 2.3s while glued. Can target MOAB-class but does not slow them down and only lasts for half duration.
Bloon Dissolver,$2500,Extreme solvents melt two layers every second.,Corrosion rate increases from 1 damage per 2.3s to 1 damage per 0.575s.
Bloon Liquefier,$5000,Can glue one additional Bloon per shot and applies liquefying compounds that do 10 pops every second.,"Corrosion rate increases from 1 damage per 0.575s to 1 damage per 0.1s, and glue gains +1 pierce."
The Bloon Solver,$19000,Bloons a problem? Here's the solution.,Corrosion rate increases versus Ceramics and MOAB-class from 1 damage per 0.1s to 3 damage every 0.1s. Glue attack becomes a twin splatter attack with 6 pierce per splash.
Bigger Globs,$100,Can coat 2 Bloons per shot.,Glue projectile gains +1 pierce.
Glue Splatter,$700,Splatters glue across up to 6 Bloons per shot.,"Converts glue attack into a splash attack, gluing up to 6 bloons per shot (equivalent to +4 pierce)."
Glue Hose,"$2,000",Shoots glue 3x as fast!,Triples its attack speed.
Glue Strike,$4000,"Glue Strike ability: Glues all Bloons on screen, causing them to take more damage from all sources while it lasts.",Gains an ability that glues all bloons currently on screen and renders affected bloons vulnerable to +1 damage while glued.
Glue Storm,$15000,Glue Storm ability pelts the whole screen over 15 seconds with glue. Glued Bloons take extra damage while glued.,"Ability improved, allowing the ability to glue all bloons currently on screen every 2.0s until the ability expires. Alongside effects from its predecessor, ability glue now has double slowdown and gains double lifespan."
Stickier Glue,$120,Makes glue effect last much longer.,Glue lasts for 24.0s instead of 11.0s.
Stronger Glue,$400,Slows down Bloons even more.,Slows down bloons by 75% instead of 50%.
MOAB Glue,"$3,400",Improved glue formula allows it to stick to MOAB-class Bloons.,Can glue MOAB-class bloons and slows them down by 37.5% for half the duration.
Relentless Glue,"$3,000",Popped Bloons that were glued leave a blob of glue on the track.,"If the Glue Gunner glues a bloon, a popped bloon will spawn a blob of glue on the track."
Super Glue,"$28,000",Glue so strong it temporarily immobilizes all affected Bloons!,"Improves the glue slowdown greatly. Locks MOABs, DDTs, and non-MOAB-class bloons in place, while immensely slowing down BFBs and ZOMGs. Increases base pierce by 6."
Full Metal Jacket,$300,"Shots pop through 4 layers of bloon, and both bullets and shrapnel can pop Lead and Frozen Bloons.",Self-Explanatory
Large Calibre,$1000,Shots can pop through 7 layers of Bloon.,"Bullets deal 7 damage instead of 4. With Shrapnel Shot, each shrapnel piece deals 2 damage instead of 1."
Deadly Precision,$2800,"20 damage per shot, plus bonus damage to Ceramics.","Bullets deal 20 damage plus +15 damage to Ceramics. With Shrapnel Shot, each shrapnel piece deals 4 damage instead of 2."
Maim MOAB,$5000,Immobilizes MOAB class bloons for a short time.,"Bullets temporarily stun MOAB-class bloons and deal 30 damage instead of 20. With Shrapnel Shot, each shrapnel piece deals 6 damage instead of 4 and can stun MOAB-class bloons."
Cripple MOAB,$34000,Crippled MOABs are immobilized for longer and take extra damage from all other attacks.,"Bullets temporarily cripple MOAB-class bloons, rendering them vulnerable to +5 damage and become stunned for longer, on top of 80 damage per bullet instead of 30. With Shrapnel Shot, each shrapnel piece deals 12 damage instead of 6 and can cripple MOAB-class bloons."
Night Vision Goggles,$300,Allows Sniper to detect and do an additional 2 damage to Camo bloons.,"Gain camo detection, and bullets deal +2 damage to Camo Bloons."
Shrapnel Shot,$400,Damaged bloons spray out a cone of sharp shrapnel.,"If a bloon is damaged, it will spray out a cone of sharp shrapnel in the same direction as the bullet. Shrapnel improves damage potential with Path 1 upgrades. Shrapnel cannot hit the same bloon from where it spawns from."
Bouncing Bullet,$3000,Shots bounce to new targets up to 3 times.,Bullet now can pop up to 4 bloons each. Bullets produce shrapnel in the direction of the bullet prior to collision every time they damage bloons.
Supply Drop,$5800,Supply Drop ability: Drops a crate full of cash. Regular attack also damages Lead Bloons and increases Shrapnel popping power.,Ability gives $2000 cash when deployed cash crate is collected. Bullets pop Frozen and Lead.
Elite Sniper,$13000,Supply Drop gives much more cash. Grants Elite targeting prio and faster reload to all snipers.,Ability gives $5000 cash when deployed cash crate is collected. Attacks +150% faster (0.4x attack cooldown) and gives all other Snipers with +33% attack speed (0.75x attack cooldown).
Fast Firing,$350,Shoots faster than normal.,Gains +42% attack speed (0.70x attack cooldown).
Even Faster Firing,$350,Shoots even faster!,Gains a further +42% attack speed (0.70x attack cooldown).
Semi-Automatic,$3300,Attacks 3x as fast!,3x attack speed on top of previous upgrades.
Full Auto Rifle,$4750,Fully automatic weapon with incredible popping power.,2x attack speed on top of previous upgrades.
Elite Defender,$16000,A lost life gives this Sniper 4x attack speed for a short time in retaliation. Also attacks faster the further the Bloons are along the track.,"2x attack speed on top of previous upgrades, as well as attacking an additive percentage amount faster depending on how close the Bloons are nearing the exit. If lives are lost, attacks 4x faster on top of other attack speed bonuses."
Longer Range,$130,Increases attack range.,Gains +10 range.
Advanced Intel,$500,Allows long range targeting of Bloons in radius of your other towers.,Allows the Monkey Sub to target any bloon within the range of any tower on screen. Can target Camo Bloons with the range of any tower with direct camo detection.
Submerge and Support,$500,Adds Submerge targeting option that permanently reveals Camo bloons in its radius but does not attack while submerged.,"Gains the Submerge targeting option. When active, it produces a non-damaging decamo wave every 1.5s that hits all bloons within range, but the Sub cannot use other attacks while submerged."
Bloontonium Reactor,$2800,"Submerge to detect Camo, pop Bloons and reduce ability cooldowns of nearby water-based Monkeys by 15%.","When submerged, creates a radioactive damage zone that pops up to 50 bloons every cycle, decamos much faster, and reduces ability cooldowns of nearby water-based towers by 15%."
Energizer,$32000,"Reduces ability cooldowns everywhere by 20%. While in radius, heroes earn XP 50% faster and water Monkey ability cooldowns are halved.","Submerging allows its damage zone to deal 3 damage per cycle instead of 1, reduces ability cooldowns of all towers on screen by 20%, gives nearby heroes with 50% more XP, and nearby water-based towers gain 50% reduced ability cooldowns instead of 15%."
Barbed Darts,$450,Sub's darts can pop an additional 3 bloons each.,Darts pop 5 bloons per shot instead of 2. Also gives Reactors +20 pierce.
Heat-tipped Darts,$300,Heat tipped darts allow popping of Frozen and Lead Bloons.,"Darts can pop Frozen and Lead Bloons. Also gives Reactors +30 pierce, for a total of +50 pierce."
Ballistic Missile,$1400,Missile seeks target within range and does extra MOAB and Ceramic damage.,Gains a ballistic missile attack. Missiles fly in the sky and crash onto the target bloon. Missile explosions deal 6 damage to MOAB-class and Ceramics.
First Strike Capability,$13000,"First Strike Ability: A devastating missile strike targeting the largest bloon on screen, plus splash damage.","Ability shoots a large missile that deals 10,000 damage onto the strongest bloon on screen plus a splash with 350 damage onto up to 80 bloons."
Pre-Emptive Strike,$32000,Automatically triggers a powerful missile attack whenever MOAB-Class Bloon spawns from the Bloon entrance.,"Every time a MOAB-class bloon enters the screen, it will automatically inflict 750 damage to them. In addition, it gains even stronger and faster ballistic missiles and a faster ability cooldown."
Twin Guns,$450,Added twin gun doubles attack speed. Enhances Ballistic Missile and Bloontonium Reactor.,"Dart gains 2x attack speed, and the attack speed of alternate attacks increases."
Airburst Darts,$800,Airburst darts split into 3 on impact for massively increased popping power. Further enhances Ballistic Missile and Bloontonium Reactor.,"Main dart now splits into 3 darts on impact, and the attack speed of alternate attacks further increases."
Triple Guns,$950,Adds a third gun for even faster firing.,Increases attack speed by 1.5x. Retains the Airburst Darts attack.
Armor Piercing Darts,$2800,"Special AP darts gain increased damage and popping power, plus additional damage to MOAB class Bloons.","Main dart deals 2 damage on-hit, 4 versus MOAB-class, while airburst darts have 5 pierce per dart instead of 2 and deal 2 damage versus MOAB-class."
Sub Commander,$25000,Adds extra pierce and damage to Commander and all Subs in its radius.,All Subs within range will deal double damage and gain +4 pierce.
Faster Shooting,$350,All weapons on board shoot faster.,Attacks +33% faster (0.75x attack cooldown)
Double Shot,$550,Double ship weapons fired.,Doubles the numbers of darts and grapes per shot.
Destroyer,$2850,Attacks super duper fast!,Attacks 5x faster for all attacks.
Aircraft Carrier,$7200,Launches waves of fighter planes that strafe their targets and fire missiles at MOAB class Bloons.,"Carrier planes continuously attack with fast front-shooting twin darts, radial darts, and anti-MOAB missiles."
Carrier Flagship,$25000,Does extra damage. Can place other Monkeys on the upper decks of the ship and increases attack speed of all water based Monkeys and Monkey Aces.,All its attacks can pop any bloon type and deal even more damage. Towers placed on its upper decks will partially ignore Line of Sight. Attack speed of all water-based towers and Monkey Aces increased by +18% (0.85x attack cooldown).
Grape Shot,$550,Adds a spray of 5 sharpened grapes to the ship.,Regularly shoots 5 grapes alongside its dart attack. Grapes pop up to 1 bloon each. Can shoot from both sides.
Hot Shot,$500,Burning hot grape shot can pop Lead Bloons and set Bloons on fire.,"Converts grapes into hot grapes of fire, popping Lead Bloons and applying napalm. Hot grapes cannot pop Purples."
Cannon Ship,$900,Adds a powerful cannon that shoots out powerful bombs.,"Shoots bombs with a large explosion radius, 28 pierce, and emits eight frags, similar to the 1-0-2 Bomb Shooter. Can shoot from both sides."
Monkey Pirates,$4500,Adds 2 cannons to the ship and cannon attacks do more damage. MOAB Takedown Ability: harpoons a MOAB class Bloon and brings it down.,"Ability immediately pulls down the strongest blimp on screen other than ZOMGs or BADs, instantly destroying them. Main attack shoots 3 bombs per shot and deal 2 damage each."
Pirate Lord,$21000,Greatly increased attack speed for all attacks and can shoot 3 grappling hooks at once.,"Ability now shoots 3 grappling hooks at once, and can pull ZOMGs down with 2 hooks. Attacks 2x faster and grapes deal 5 damage, with 5 extra damage to Ceramic bloons."
Long Range,$180,Much longer range and projectiles fly faster.,"Gains +11 range, and increases projectile speed of all projectiles by +25%."
Crow's Nest,$400,Allows the ship to hit Camo Bloons.,Gains camo detection.
Merchantman,$1800,Generates cash each round automatically.,"At the end of each round, generates $300."
Favored Trades,$6000,Attacks faster and generates lots of money per round. Monkeys in radius have increased sell value.,"2x faster attack speed, generates $1000 at the end of each round, and increases sell value of nearby towers by 10%. Does not stack with other Favored Trades."
Trade Empire,$23000,"Generates more cash per round, increases cash earned by up to 20 other Merchantmen by the number of Merchantmen, and boosts all Merchantmen damage.",Boosts income of up to 20 Merchantmen or Favored Trades by +$50 (?) for every Merchantman or Favored Trades on screen. All Buccaneers with at least the Merchantman upgrade gain +1 damage and another +1 damage to MOAB-class and Ceramic. Generates $2000 per round.
Rapid Fire,$550,Shoots faster than normal.,Attacks +33% faster (0.75x attack cooldown).
Lots More Darts,$650,Shoots 12 darts at a time.,"Each dart volley shoots 12 darts at a time. For Spectres and Flying Fortress, darts gain extra pierce."
Fighter Plane,$1000,Flies fast and launches anti-MOAB missiles.,Regularly shoots twin anti-MOAB missiles that deal 18 damage per shot. Anti-MOAB missiles can only target MOAB-class bloons.
Operation: Dart Storm,$3000,"Shoots 16 darts per volley, and twice as fast.","Shoots 16 darts per volley, attacks 2x faster, increases fighter plane missile damage to 24, and slightly increases pierce of anti-MOAB missile explosions (check numbers)."
Sky Shredder,$40000,The bloons will wish they had never come.,"Attacks even faster, pops any bloon type, and shoots 32 darts per volley. Anti-MOAB missiles deal 150 damage and up to 6 blimps (check numbers)."
Exploding Pineapple,$200,Drops pineapples to the ground that explode violently after a few seconds. Ace's explosive attacks are improved.,"Drops exploding pineapples onto the ground every few seconds, and increases the pierce and blast radius of all of Ace's explosive attacks. Pineapples explode after a few seconds and deal 1 damage to up to 20 bloons (check numbers)."
Spy Plane,$350,Allows Monkey Ace to hit Camo Bloons.,Self-explanatory
Bomber Ace,$900,Drops a line of bombs when crossing the Bloon track.,Regularly drops an array of 4 bombs along nearby bloon track. Bombs deal 3 damage per explosion (check numbers).
Ground Zero,$14000,Bomb damage increased significantly. Ground Zero Ability: Drops a huge bomb that destroys most things on screen.,"Ability drops a nuke that inflicts 700 damage to all bloons on screen, including explosion-immune bloons, affecting up to 1000 bloons on screen and wiping out any weaker bloons. Main bomb explosions deal 10 damage instead of 3 (check all numbers)."
Tsar Bomba,$35000,"A very, very large bomb. Someone put a stop to craziness!","Ability nuke deals 3000 damage, affects up to 5000 bloons on screen, and stuns all survivors of the blast. Main bomb explosions pop any bloon type (check numbers)."
Sharper Darts,$450,Darts can pop 8 Bloons each.,Darts pop up to 8 bloons and bombs gain +12 pierce (check numbers).
Centered Path,$300,New central flight path for maximum map coverage.,"Gains the Centered Path flight path, which moves the Ace along a unified path in a circular formation. This flight path can be adjusted so it flies around a different central point."
Neva-Miss Targeting,$2200,Darts automatically seek out and pop Bloons by themselves.,Darts will automatically rotate to continuously seek at nearby bloons.
Spectre,$24000,"Rapidly fires darts and bombs, dominating most Bloon types easily.","Exchanges volleys of seeking darts for rapid-fire alternating darts and bombs. Darts seek slightly, deal 2 damage per shot, and pop up to 30 bloons. Bombs deal 3 damage to up to 60 bloons (check numbers)."
Flying Fortress,$85000,This is a BIG plane.,"Attacks +50% faster (0.66x attack cooldown), shoots three rapid-fire attacks at once with different target priorities (First, Last, Close), and pops any bloon type (check numbers)."
Quad Darts,$600,Shoots 4 darts per volley instead of 2.,Self-explanatory
Pursuit,$400,A new targeting option enables Heli to seek and pursue the Bloons automatically.,Automatically moves in front of the bloon closest to the exit.
Razor Rotors,$1750,"Razor Rotor blades rip up Bloons on contact, including Lead and Frozen Bloons.","Bloons within close range of the Heli Pilot become damaged, including Frozen and Leads. Pops up to 10 bloons and deals 2 damage per cycle (check these numbers)."
Apache Dartship,"$19,600",Adds a large missile array and powerful machine guns.,Gains a dart-shooting machine gun attack alongside quad homing missiles that deal 2 damage per missile (check damage).
Apache Prime,$45000,The Apache Prime leaves most Bloons wishing they'd never been inflated.,"Quad dart replaced with lasers, dealing 6 damage and having greatly increased pierce. Machine gun replaced with plasma dealing 5 damage, and more pierce, and missiles deal 17 damage to MOAB class Bloons instead of 2 (check these numbers)."
Bigger Jets,$300,Powerful jets make Heli move much faster.,"Heli Pilot moves +75% faster. With MOAB Shove, improves MOAB Shove effect."
IFR,$450,Allows Heli Pilot to detect and shoot Camo Bloons.,Allows the Heli to detect and attack Camo Bloons. Improves MOAB Shove even more.
